f1,f2,m1,m2,damage
6.4782,14.151,0.9921075580678318,0.9764802133225484,2
6.49,14.274,0.9911201750407014,0.9727154756338828,2
6.431,14.138,0.9912037566702092,0.9730158738919845,2
6.3713,14.001,0.9912901386394024,0.9733275771352168,2
6.3715,14.059,0.9898750907794285,0.9680911001885458,2
6.3114,13.921,0.9899406168550968,0.968332221210639,2
6.2902,13.952,0.9896357300571553,0.9667778517904574,2
6.2808,13.972,0.9879171591153738,0.9603357406910775,2
6.2311,13.863,0.987404037457027,0.9584266051216271,2
6.197,13.835,0.9868932589784913,0.9561855514272511,2
6.1363,13.71,0.9871053521989918,0.9568508146196599,2
6.118,13.72,0.9854614561273304,0.9503023162135605,2
6.0554,13.579,0.9854390089923092,0.9501909762118927,3
6.0421,13.65,0.984248521745546,0.9447109681129409,3
5.9826,13.526,0.98413351354928,0.9441130774157921,3
5.9603,13.526,0.9818141273731872,0.9345490922572398,3
5.9094,13.456,0.9816860816519283,0.933473215426922,3
5.8069,13.182,0.9836286888206662,0.9414217710554814,3
5.82,13.323,0.9790315411938412,0.9218218929088912,3
5.7991,13.392,0.9772089932895255,0.912639065958489,3
5.7261,13.21,0.9768666783002999,0.9113068632235606,3
5.6596,13.077,0.9767945145648933,0.9106174764538646,3
5.6298,13.118,0.9748879274806741,0.9006448446575124,3
5.5703,13.03,0.9745205368941436,0.8980525096546146,3
5.5325,13.032,0.9718670274037196,0.8845263319924948,3
5.4732,12.956,0.9712969236701917,0.8805158129235426,3
5.4101,12.839,0.9693686419808681,0.8708038376049849,3
5.374,12.903,0.9671409620121775,0.8566291653599348,3
5.2653,12.559,0.9680939740770156,0.8629860886311782,3
5.2451,12.716,0.9634537772759413,0.8347634242359315,3
5.1374,12.389,0.9646656832671796,0.8424105011659865,3
5.1118,12.555,0.9602109365211051,0.8124498790624181,3
7.122,14.992,0.9998169837677725,0.9978082215574194,4
7.0687,14.885,0.9997100731684636,0.9979735029935011,4
7.1476,14.999,0.9997997846602737,0.9972988905462961,4
7.1386,14.965,0.999785314903014,0.9971561041112857,4
7.1294,14.93,0.9997696513094675,0.9970040739251932,4
7.0633,14.802,0.9997840759492337,0.9971297985692488,4
7.1373,14.903,0.9995917495255522,0.9967218816126405,4
7.1388,14.887,0.9994244684097432,0.9964396116376426,4
7.0904,14.785,0.9997317175392377,0.9961044607404265,4
6.995,14.611,0.9997841070614315,0.9961115021104906,4
7.0678,14.706,0.9994367116894053,0.9961178025739059,4
7.0734,14.691,0.9996359071820371,0.9954943748102971,4
7.0073,14.563,0.9995465075794576,0.9959215649418637,4
7.0652,14.631,0.999549828595034,0.9950062701106813,4
7.0664,14.61,0.9995517832475443,0.9943158452019413,4
6.9747,14.44,0.9995715528774766,0.9949058329256091,4
6.9887,14.438,0.999333296171283,0.99475564093707,4
6.978,14.395,0.9993775865501362,0.9944166949592242,4
6.9928,14.391,0.9994146483028664,0.993588521253003,4
6.9139,14.243,0.9994313389068091,0.9939582390629841,4
6.8331,14.091,0.9993799183295105,0.9944384881931811,5
