f1,f2,MAC1,MAC2,LABEL
5.3186,11.357,0.9952809929,0.9306870683,3
5.325,11.278,0.9937904775,0.9240192590,3
5.3357,11.242,0.9929626682,0.9091941234,3
5.278,11.117,0.9929307862,0.9156833025,3
5.2349,11.019,0.9929405536,0.9155302194,3
5.2374,10.969,0.9920534181,0.9014783064,3
5.2039,10.882,0.9919205747,0.8961909193,3
5.1863,10.796,0.9908547123,0.8910333823,3
5.1593,10.714,0.9904940060,0.8821032348,3
5.106,10.588,0.9899539316,0.8908265370,3
5.1081,10.534,0.9887765865,0.8697336021,3
5.0088,10.366,0.9895412425,0.8927304618,3
5.0242,10.317,0.9873136430,0.8725293384,3
4.9366,10.165,0.9879925849,0.8881553260,3
4.9465,10.113,0.9858484317,0.8650429883,3
5.9228,13.778,0.9999858849,0.9997816148,4
5.8933,13.668,0.9999796641,0.9999033011,4
5.9156,13.764,0.9999756816,0.9995532317,4
5.9097,13.757,0.9999692937,0.9993620414,4
5.9003,13.724,0.9999642832,0.9993196548,4
5.861,13.618,0.9999668577,0.9993671105,4
5.8929,13.662,0.9999377771,0.9993658999,4
5.8912,13.626,0.9999033897,0.9993596231,4
5.8582,13.615,0.9999369998,0.9987241251,4
5.8082,13.498,0.9999372920,0.9985984173,4
5.8386,13.495,0.9998999922,0.9990996841,4
5.8319,13.527,0.9999089782,0.9983926377,4
5.7972,13.399,0.9999022509,0.9988285491,4
5.8168,13.472,0.9998825043,0.9981217711,4
5.8053,13.469,0.9998702626,0.9974335218,4
5.761,13.329,0.9998787974,0.9979036119,4
5.7625,13.278,0.9998349940,0.9982866965,4
5.75,13.255,0.9998312404,0.9979586772,4
5.7489,13.283,0.9998223533,0.9971085737,4
5.7011,13.15,0.9998317490,0.9973516615,4
5.6636,13.021,0.9998246177,0.9978542735,5
5.7109,13.135,0.9997548002,0.9970097319,5
5.6887,13.055,0.9997276439,0.9971397892,5
5.6762,13.022,0.9997112850,0.9968346644,5
5.6598,13.022,0.9997247736,0.9957687019,5
5.6334,12.917,0.9996992303,0.9962929684,5
5.6225,12.874,0.9996647694,0.9961389543,5
5.6141,12.874,0.9996565237,0.9952279793,5
5.5907,12.832,0.9996496787,0.9944967626,5
5.5933,12.801,0.9995910274,0.9945992644,5
5.5386,12.692,0.9996240062,0.9940062908,5
5.5676,12.761,0.9995452167,0.9928057591,5
5.5511,12.707,0.9995158223,0.9925568187,5
5.4856,12.567,0.9995396146,0.9920438367,5
5.5028,12.568,0.9994741716,0.9920918848,5
5.4965,12.501,0.9993985654,0.9926135951,5
5.4721,12.452,0.9993918733,0.9917993916,5
5.4294,12.298,0.9993565380,0.9928870774,5
5.4502,12.346,0.9992585611,0.9914953604,5
5.3375,12.095,0.9994088727,0.9920143305,5
5.3953,12.225,0.9992445682,0.9899549200,6
5.4025,12.2,0.9991176820,0.9897469381,6
5.3751,12.164,0.9991284931,0.9880709181,6
5.3476,12.062,0.9990778200,0.9884796718,6
5.3345,11.993,0.9989800123,0.9884660456,6
5.3252,11.984,0.9989358517,0.9867533822,6
5.2877,11.853,0.9988820159,0.9874498170,6
5.2865,11.886,0.9988318762,0.9844812625,6
5.2652,11.776,0.9987215855,0.9853324563,6
5.224,11.675,0.9987224949,0.9847653667,6
5.1984,11.565,0.9986110987,0.9852451769,6
5.1705,11.521,0.9986133434,0.9833143588,6
5.1606,11.463,0.9984809226,0.9826990259,6
5.1249,11.369,0.9984486984,0.9819475078,6
5.1083,11.314,0.9983501692,0.9806919514,6
5.0779,11.204,0.9982542778,0.9807119986,6
5.0533,11.128,0.9981660569,0.9796692710,6
5.0256,11.041,0.9980767021,0.9787908210,6
4.9942,10.953,0.9980058577,0.9776386096,6
4.9977,10.9,0.9977268436,0.9767424140,6
5.9345,13.896,0.9999521149,0.9995561305,7
5.9634,14.026,0.9998832866,0.9990211598,7
5.92,13.865,0.9999361542,0.9995111640,7
5.9594,14.039,0.9998321261,0.9987835226,7
5.872,13.769,0.9998899026,0.9989169762,7
5.9019,13.894,0.9998085192,0.9983791186,7
5.8891,13.856,0.9998088192,0.9985137495,7
5.8671,13.789,0.9998191390,0.9986550663,7
5.8916,13.928,0.9996487150,0.9972081841,7
5.8961,13.983,0.9995191370,0.9960700134,7
5.9143,14.044,0.9994688549,0.9963072470,7
5.874,13.956,0.9993948164,0.9950976451,7
5.8155,13.743,0.9995653652,0.9966320904,7
5.8246,13.813,0.9994109888,0.9954146916,7
5.7686,13.639,0.9994812111,0.9957002758,7
5.8454,13.943,0.9991108476,0.9935397411,7
5.7898,13.724,0.9993592002,0.9957979892,7
5.8223,13.932,0.9988627393,0.9915005538,7
5.745,13.651,0.9991680281,0.9938759913,7
5.7463,13.671,0.9990846481,0.9936788405,7
5.699,13.515,0.9991934500,0.9944887495,8
5.6814,13.482,0.9991248247,0.9940113323,8
5.7093,13.666,0.9985992531,0.9895810141,8
5.6676,13.528,0.9987213571,0.9907053705,8
5.6689,13.57,0.9985051953,0.9892954661,8
5.683,13.653,0.9982399253,0.9879519661,8
5.6471,13.527,0.9983922945,0.9895784893,8
5.7046,13.809,0.9976133960,0.9846057406,8
5.6194,13.537,0.9978560441,0.9851069293,8
5.6061,13.505,0.9978179867,0.9856480808,8
5.5848,13.467,0.9976795368,0.9847426582,8
5.5981,13.573,0.9971843711,0.9816146011,8
5.5568,13.458,0.9971804493,0.9813577283,8
5.4878,13.233,0.9974355205,0.9826424111,8
